,Lento ⭕,Rapido ⭕,,
Inicial [mm],153,143,,
Actual [mm],138.70,119.80,,
,,,,
,,,,
,,,,
Fecha,Rectificado Lento,Rectificado Rapido,Observaciones,Responsable
17/12/2023,0.60,0.90,Sin Insertos,Viera M.
4/2/2024,0.60,0.90,Sin Insertos,Viera M.
30/3/2024,0.50,0.70,Sin Insertos,Valenzuela M.
30/6/2024,0.90,0.90,Sin Insertos,Valenzuela M.
8/9/2024,1.80,1.50,Sin Insertos,Valenzuela M.
27/10/2024,1.20,1.50,Sin Insertos,Valenzuela M.
19/1/2025,1.70,2.50,1 inserto nuevo,Valenzuela M.
22/3/2025,1.00,2.00,Se rompe 1 inserto ,Valenzuela M.
7/6/2025,1.30,2.00,,Valenzuela M.
7/9/2025,1.50,1.50,Se rompe 1 inserto ,Valenzuela M.
21/9/2025,0.00,2.00,Se realizo rectificado pendiente.,Valenzuela M.
26/10/2025,1.00,2.00,No se rompio insertos ,Valenzuela M.
30/11/2025,1.00,3.00,No se rompio insertos ,Valenzuela M.
1/3/2026,1.20,1.80,No se rompio insertos ,Valenzuela M.